,precision,recall,f1-score,support
positive,0.8457943925233645,0.7458791208791209,0.7927007299270074,728.0
negative,0.5310734463276836,0.47959183673469385,0.5040214477211796,196.0
neutral,0.4532710280373832,0.49489795918367346,0.47317073170731705,196.0
conflict,0.0594059405940594,0.42857142857142855,0.10434782608695652,14.0
accuracy,0.6525573192239859,0.6525573192239859,0.6525573192239859,0.6525573192239859
macro avg,0.47238620187062264,0.5372350863422292,0.46856018386061515,1134.0
weighted avg,0.7138461357150612,0.6525573192239859,0.6790799542504975,1134.0
